source: 01 19 48	“Yes, yes.” Doehring Cowart felt extremely happy.

score: 0.609453, para: 02 9 37	Linley also felt extremely excited, but his head was extremely clear, and he also looked very calm on the outside. Linley knew very well that upon becoming a member of the Ernst Institute, and with the guidance of Doehring Cowart, in just a few decades, it would not be too difficult to become a magus of the seventh or eighth ranks.

score: 0.609453, para: 02 9 37	Linley also felt extremely excited, but his head was extremely clear, and he also looked very calm on the outside. Linley knew very well that upon becoming a member of the Ernst Institute, and with the guidance of Doehring Cowart, in just a few decades, it would not be too difficult to become a magus of the seventh or eighth ranks.

score: 0.609453, para: 02 9 37	Linley also felt extremely excited, but his head was extremely clear, and he also looked very calm on the outside. Linley knew very well that upon becoming a member of the Ernst Institute, and with the guidance of Doehring Cowart, in just a few decades, it would not be too difficult to become a magus of the seventh or eighth ranks.

score: 0.607638, para: 02 25 67	After entering the mountains, Doehring Cowart appeared by his side. Watching Linley, Doehring Cowart felt extremely gratified in his heart.

score: 0.607638, para: 02 25 67	After entering the mountains, Doehring Cowart appeared by his side. Watching Linley, Doehring Cowart felt extremely gratified in his heart.

score: 0.607638, para: 02 25 67	After entering the mountains, Doehring Cowart appeared by his side. Watching Linley, Doehring Cowart felt extremely gratified in his heart.

score: 0.547344, para: 02 5 16	Doehring Cowart had an extremely high status within the Pouant Empire, which Ernst didn’t come close to matching, at the time.

score: 0.547344, para: 02 5 16	Doehring Cowart had an extremely high status within the Pouant Empire, which Ernst didn’t come close to matching, at the time.

score: 0.547344, para: 02 5 16	Doehring Cowart had an extremely high status within the Pouant Empire, which Ernst didn’t come close to matching, at the time.

