source: 02 1 13	“And Shadowmice? How powerful is a Shadowmouse?” Linley asked.


score: 0.821988, para: 02 8 51	Because he knew how powerful a dual-element magus was; far more powerful than a single-element magus.


score: 0.587945, para: 01 11 34	Linley suddenly had a powerful urge to become a powerful magus as well.


score: 0.581755, para: 02 2 7	Linley now understood.


score: 0.581755, para: 02 2 12	Linley nodded.


score: 0.581755, para: 02 2 26	Linley understood.


score: 0.581431, para: 01 8 27	The Velocidragon’s huge body, hard scales, sharp claws, and powerful tail served to create a terrifying appearance. Linley believed….a single Velocidragon could most likely annihilate the entire Wushan township.


score: 0.570842, para: 01 8 36	“The magus was even more powerful than the Velocidragon?” Linley found this somewhat hard to believe.


score: 0.567124, para: 01 3 4	Hogg took Linley by the hand. “Come.”


score: 0.558023, para: 01 5 47	“Yes, father.” Linley said respectfully.


