source: 01 14 50	“Eh?” Surprised, Hillman couldn’t help but turn around as well and stare to the east.


score: 0.644148, para: 01 1 30	A hint of a smile played at Hillman’s lips. He then moved to the front and took off his shirt. The lines running across the powerful muscles on his body made the eyes pop out of all of the kids. Even the children in the middle group and southern group couldn’t help but stare at him, admiring his physique.


score: 0.629195, para: 01 7 36	By this time, all three squads had already lined up. Hillman was speaking, but upon hearing Linley’s footsteps, Hillman’s cold gaze couldn’t help but shoot towards him.


score: 0.583052, para: 01 1 34	Seeing the ardent gazes of the children, Hillman couldn’t help but let a slight smile escape. He wanted to stir up a feeling of worshipfulness in the children, a desire to be like him. That way, they would work harder and be more motivated!


score: 0.573067, para: 01 2 12	Hillman stared at the children, and said in a clear voice, “Brats, listen up! You are all men of Wushan town. The men of Wushan town must straighten their chests and welcome any challenges, and accept no fear. Am I understood?”


score: 0.568567, para: 02 7 48	“This kid, Linley, is so hard working. Even at night, he is training his mental energy.” Seeing Linley seated cross-legged with his eyes closed, Hillman couldn’t help but silently praise him. Mental energy was extremely important to both magi and warriors!


score: 0.565388, para: 01 1 108	The children’s ears immediately perked up, and their eyes brightened. Linley, sitting on the ground, felt his heart thump furiously. “The legendary Four Supreme Warriors?” Linley’s ears couldn’t help but perk up as well, as he stared unblinkingly at Hillman.


score: 0.547483, para: 01 2 14	“Good!” Hillman stood ramrod straight as well. His cold gaze was filled with a military aura.


score: 0.546678, para: 01 1 46	All of the children stared worshipfully at Hillman.


score: 0.539397, para: 02 9 51	Only now did Linley let the excitement he felt show on his face. His hands suddenly clenching into fists, his eyes shone with energy. Turning to look at Hillman, he rapidly said, “Uncle Hillman, let’s go, let’s go back! Back to Wushan township! I’ve gotta let my father know the news!”


