source: 02 6 32	“Is this..can this be?” Linley had a wild guess in his heart.


score: 0.710939, para: 02 3 17	None of the people of Mt. Wushan found it strange for Linley to be running home with a wild hare in hand. In truth, ever since Linley had learned the ‘Earth Spike’ spell, he often brought wild hares home.


score: 0.706680, para: 02 3 48	The next afternoon, Linley killed another wild hare as well as a wild chicken. He gave the wild hare to Uncle Hiri to prepare for dinner, and then tossed the wild chicken in the exact same location as he had tossed the hare; at the doorway to that courtyard.


score: 0.654436, para: 02 2 41	Even a very cautious wild rabbit wasn’t able to detect Linley in the slightest.


score: 0.632761, para: 01 3 29	Not just Linley. To tell the truth, even Hogg was very nervous.


score: 0.631955, para: 02 5 55	The little Shadowmouse really liked Linley.


score: 0.630418, para: 02 3 33	Linley smiled at the Shadowmouse, then tossed the wild hare in front of the doorway. Perhaps the Shadowmouse couldn’t understand human speech, but Linley understood that an intelligent magical beast should be able to understand the meaning of a smile.


score: 0.625026, para: 02 10 31	“Lord Hogg, Linley really did tame this Shadowmouse. I personally witnessed it. This little Shadowmouse is also the reason why in recent days, Linley has often caught wild animals to feed to the ‘adorable pet’ he had behind the back courtyard.” Hillman explained.


score: 0.622645, para: 02 5 54	“Squeak.” On the rooftops above the living room of the Baruch clan manor, the little Shadowmouse watched Linley and Hillman depart. The little Shadowmouse’s mind was filled with questions. In his eyes, this was the time when Linley should be going off to kill a wild hare. Why had he taken up a bag and headed off with someone else?


score: 0.613901, para: 02 3 43	“Wonder if the little Shadowmouse ate it or not.” Linley was currently in the back courtyard of the manor, and walked towards the area where he had tossed the wild hare earlier.


