source: 01 13 47	Chewing on his lips, Linley furrowed his brows in thought.


score: 0.791337, para: 01 12 21	Linley was kneeling on the bed, his brow furrowed in thought.


score: 0.527309, para: 02 15 8	“Bebe, you woke up?” Linley laughed as he stroked Bebe’s little head. Bebe closed his eyes in contentment, and then opened his little eyes and peered at Reynolds, Yale, and George. His little nose snorted three times, as though he looked down at them.


score: 0.522885, para: 01 23 65	“What’s that?” Linley’s eyes widened.


score: 0.522885, para: 02 21 14	Reynolds, George, and Linley’s eyes all shone.


score: 0.522885, para: 02 23 6	Linley’s eyes shone.


score: 0.521374, para: 02 19 58	“Oh, and this one.” Rand’s eyes shone as he stared at Linley. “How come I never knew that in Yale’s dorm, there was someone such as you?”


score: 0.519356, para: 01 7 47	Linley widened his eyes and stared east…


score: 0.516254, para: 02 18 60	Linley quirked his lips in a smile. “George, don’t flatter me.”


score: 0.508900, para: 01 2 45	“What, did I do it wrong? I really wiped them clean.” In little Wharton’s tiny head, his eyes were filled with an uncomprehending look as he stared at his big brother.


